ITERAÇÃO,NR PONTOS SELECIONADOS,TOTAL PONTOS,LISTA DE PONTOS,RESULTADO
88,5,20,1 2 6 7 8 ,-7.968000
89,15,20,1 2 4 5 6 7 11 12 13 14 15 16 17 18 20 ,4.645334
90,19,20,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-1.550000
91,2,20,4 13 ,2.045000
92,12,20,2 3 4 6 7 9 11 12 14 15 17 19 ,0.365000
93,3,20,16 17 18 ,-1.930000
94,17,20,1 2 3 4 5 6 7 10 11 12 13 15 16 17 18 19 20 ,0.887059
95,16,20,1 2 3 4 5 6 7 8 9 13 14 16 17 18 19 20 ,-6.394375
96,6,20,3 5 11 14 17 18 ,-2.910000
97,10,20,3 5 9 10 11 12 13 14 16 19 ,-1.498999
98,18,20,1 2 3 4 5 6 7 8 9 11 12 13 14 15 17 18 19 20 ,0.875000
99,14,20,2 3 6 7 8 9 10 11 12 13 14 18 19 20 ,-4.712858
100,9,20,1 2 4 8 11 12 13 14 16 ,-1.272222
101,9,20,2 4 6 7 8 9 11 13 19 ,-1.526666
102,8,20,1 5 6 8 10 11 13 14 ,-2.062500
103,15,20,1 2 3 4 5 6 8 9 10 11 12 15 16 18 20 ,-4.459333
104,16,20,1 2 3 4 5 6 7 8 10 12 13 14 15 16 17 20 ,-1.060000
105,8,20,2 4 6 8 9 12 16 20 ,-2.956250
106,11,20,1 4 5 6 7 8 11 14 15 19 20 ,0.847273
107,6,20,4 6 11 13 14 18 ,4.140000
108,8,20,1 5 8 12 13 14 15 18 ,5.133750
109,16,20,1 4 5 7 9 10 11 12 13 14 15 16 17 18 19 20 ,0.850000
110,5,20,4 12 14 15 20 ,3.796000
111,5,20,1 3 8 9 19 ,-2.220000
112,4,20,1 2 8 17 ,-5.660000
113,19,20,1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 ,-2.207369
114,6,20,3 5 6 16 17 20 ,-0.436667
115,13,20,1 4 5 7 8 9 10 11 13 14 17 18 19 ,-0.003846
116,16,20,1 2 3 4 5 7 8 10 12 13 14 15 16 18 19 20 ,-2.997500
117,4,20,2 10 18 20 ,-4.502500
118,9,20,1 3 4 7 9 12 13 19 20 ,-4.224444
119,19,20,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 ,-3.458947
120,13,20,1 3 4 5 6 7 8 9 10 12 13 18 20 ,-4.536154
121,15,20,1 3 4 6 7 8 9 10 12 13 14 15 17 19 20 ,-3.105334
122,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-2.375500
123,8,20,2 4 5 9 11 12 15 17 ,0.992500
124,6,20,3 8 12 13 18 19 ,0.943333
125,11,20,2 3 6 9 10 11 12 13 17 19 20 ,-1.700000
126,5,20,1 6 12 16 18 ,-2.586000
127,15,20,2 3 4 7 8 9 10 11 12 14 15 16 17 19 20 ,-3.638001
128,19,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 ,-1.481580
129,16,20,1 4 5 6 7 8 9 10 11 12 13 15 16 17 19 20 ,0.028750
130,16,20,1 2 3 6 8 9 10 11 12 14 15 16 17 18 19 20 ,-5.018126
131,3,20,6 9 15 ,-2.333333
132,18,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 18 19 20 ,-4.105555
133,6,20,1 5 6 7 8 20 ,-5.880000
134,15,20,1 5 6 7 8 9 10 11 12 13 14 16 18 19 20 ,-2.179333
135,16,20,1 3 4 5 6 7 8 10 11 12 13 14 15 16 18 19 ,-2.480000
136,14,20,1 2 3 5 6 9 11 12 13 15 16 17 18 20 ,4.805001
137,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-2.375500
138,12,20,1 2 4 5 6 8 10 12 13 15 18 19 ,-1.654167
139,2,20,3 5 ,-1.405000
140,8,20,1 2 3 6 9 10 14 15 ,-5.950000
141,7,20,4 5 6 11 14 16 19 ,1.701429
142,6,20,3 8 10 12 13 14 ,-2.210000
143,7,20,1 8 10 13 14 15 19 ,2.228571
144,2,20,1 13 ,4.455000
145,6,20,9 12 13 15 17 20 ,1.858333
146,10,20,2 5 7 8 9 11 14 15 17 18 ,3.737001
147,9,20,1 2 8 9 11 13 14 15 17 ,5.115556
148,6,20,1 4 5 8 9 19 ,-5.711666
149,16,20,1 2 3 4 5 6 7 8 9 10 11 13 14 15 18 19 ,-2.856248
150,10,20,1 2 4 6 10 11 13 14 18 19 ,0.140000
151,2,20,5 14 ,2.125000
152,13,20,1 2 3 5 6 10 11 13 14 15 17 18 20 ,0.834615
