ITERAÇÃO,NR PONTOS SELECIONADOS,TOTAL PONTOS,LISTA DE PONTOS,RESULTADO
1,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-2.375500
2,14,20,1 2 3 4 5 6 8 9 13 14 17 18 19 20 ,-5.390713
3,15,20,1 2 4 7 9 10 11 12 13 14 15 17 18 19 20 ,-1.121333
4,4,20,2 8 10 15 ,-3.252500
5,19,20,1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 ,-3.989472
6,13,20,2 4 5 6 7 8 10 11 12 14 15 16 18 ,0.307692
7,16,20,2 4 5 7 8 9 10 12 13 14 15 16 17 18 19 20 ,0.000000
8,3,20,1 16 19 ,0.000000
9,3,20,4 5 14 ,3.206667
