ITERAÇÃO,NR PONTOS SELECIONADOS,TOTAL PONTOS,LISTA DE PONTOS,RESULTADO
1,23,30,1 2 3 4 5 6 8 10 11 15 17 18 19 20 21 23 24 25 26 27 28 29 30 ,-2.634348
2,15,30,1 3 4 5 7 8 12 15 17 19 22 23 24 25 30 ,0.886000
3,12,30,1 8 9 11 13 14 15 16 17 20 22 24 ,3.064445
4,19,30,1 2 5 6 7 8 10 11 14 15 18 19 21 22 23 26 27 28 30 ,3.064445
5,22,30,1 2 4 5 7 8 9 10 12 13 15 17 18 19 20 21 22 23 27 28 29 30 ,3.064445
6,10,30,2 4 9 11 12 16 19 22 24 25 ,5.311667
7,14,30,2 3 9 11 12 19 20 21 23 24 25 26 28 29 ,10.667500
8,19,30,2 3 4 7 8 10 11 13 14 15 16 18 20 21 22 24 25 26 30 ,10.667500
9,3,30,6 12 18 ,11.527856
10,24,30,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 22 25 27 28 29 30 ,11.527856
11,11,30,2 5 6 9 10 11 13 15 16 22 28 ,11.527856
12,12,30,1 2 5 6 9 10 11 16 22 23 25 26 ,11.527856
13,12,30,1 2 3 8 15 17 20 24 26 27 28 29 ,11.527856
14,5,30,1 5 6 23 29 ,11.527856
15,11,30,1 2 5 9 12 15 18 19 25 27 30 ,11.527856
16,12,30,1 3 4 7 8 9 10 13 25 28 29 30 ,11.527856
17,30,30,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 ,11.527856
18,5,30,1 10 15 18 23 ,11.527856
19,27,30,1 3 4 5 6 7 8 9 10 12 13 14 15 16 17 19 20 21 22 23 24 25 26 27 28 29 30 ,11.527856
20,18,30,3 4 5 7 8 9 10 12 13 14 18 19 20 22 23 25 26 28 ,11.527856
21,18,30,5 7 8 11 12 13 14 15 16 17 18 20 22 25 26 28 29 30 ,11.527856
22,13,30,4 8 10 11 12 13 14 15 16 19 25 26 27 ,11.527856
23,29,30,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 24 25 26 27 28 29 30 ,11.527856
24,25,30,2 3 4 5 6 7 8 10 11 12 13 14 15 16 17 18 19 21 23 24 25 27 28 29 30 ,11.527856
25,5,30,3 4 12 26 27 ,11.527856
26,23,30,1 2 3 4 5 6 7 8 10 11 12 13 15 16 18 20 21 23 24 25 26 28 30 ,11.527856
27,21,30,1 2 5 6 7 9 13 14 15 16 17 19 20 21 23 24 25 27 28 29 30 ,11.527856
