ITERAÇÃO,NR PONTOS SELECIONADOS,TOTAL PONTOS,LISTA DE PONTOS,RESULTADO
1,5,25,10 15 16 23 24 ,0.584000
2,2,25,2 5 ,2.620000
3,21,25,1 2 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 24 ,2.620000
4,13,25,1 3 4 7 9 10 12 15 17 18 19 23 25 ,2.620000
5,8,25,2 4 11 12 13 15 16 24 ,2.620000
6,13,25,9 10 11 12 14 17 18 19 20 22 23 24 25 ,3.521581
7,19,25,1 2 4 6 7 8 9 12 13 14 15 17 18 19 20 21 22 23 25 ,4.867896
8,24,25,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 ,4.867896
9,2,25,13 15 ,4.867896
10,19,25,1 3 5 6 7 9 11 13 14 15 17 18 19 20 21 22 23 24 25 ,4.867896
11,21,25,1 2 3 4 6 7 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 ,4.958571
12,17,25,1 2 4 5 6 8 10 11 13 14 16 18 19 21 22 24 25 ,7.092500
13,14,25,3 4 7 8 9 10 11 14 15 17 18 19 23 24 ,7.092500
14,19,25,1 2 3 4 5 6 7 10 11 13 14 15 16 17 18 19 21 22 23 ,7.092500
15,7,25,3 5 8 18 21 23 25 ,9.028572
16,13,25,2 3 4 5 6 8 9 11 13 19 22 23 24 ,9.028572
17,19,25,2 3 6 7 8 9 10 11 12 13 16 17 18 19 20 21 22 23 25 ,10.267142
18,25,25,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ,10.267142
19,7,25,1 2 7 8 13 16 17 ,10.267142
20,21,25,1 2 3 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 22 23 24 ,10.267142
21,19,25,2 3 4 6 7 9 10 11 13 14 16 17 18 20 21 22 23 24 25 ,10.267142
22,21,25,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 24 25 ,10.267142
23,12,25,1 3 4 7 11 14 15 16 17 20 22 24 ,10.267142
24,11,25,3 4 5 8 14 16 17 18 19 24 25 ,10.267142
25,10,25,1 2 5 8 11 13 14 15 17 22 ,10.267142
26,24,25,1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ,10.267142
27,3,25,6 19 22 ,10.267142
28,7,25,8 14 17 18 21 24 25 ,10.267142
29,19,25,1 4 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 25 ,10.267142
30,20,25,1 2 3 4 6 7 8 9 11 12 13 14 17 18 20 21 22 23 24 25 ,10.267142
31,24,25,1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ,10.267142
32,10,25,5 7 8 10 11 13 14 16 18 21 ,10.267142
33,17,25,1 2 3 4 7 8 9 10 11 12 14 17 18 20 21 23 25 ,10.267142
34,6,25,7 13 21 22 23 24 ,10.267142
35,14,25,1 3 5 7 8 11 12 14 17 19 20 21 23 25 ,10.267142
36,9,25,1 9 11 12 15 16 17 21 24 ,10.267142
37,16,25,3 5 8 9 10 11 12 13 14 15 18 20 21 22 23 24 ,10.267142
38,17,25,1 2 4 5 7 9 10 11 13 15 16 18 19 20 21 22 24 ,10.267142
39,14,25,1 2 3 4 5 7 8 9 10 11 13 14 17 24 ,10.267142
40,24,25,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ,10.267142
41,23,25,1 2 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ,10.267142
42,10,25,2 3 8 11 12 15 18 19 21 22 ,10.267142
43,22,25,1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 20 21 23 24 25 ,10.267142
44,21,25,1 2 4 5 7 8 9 10 12 13 15 16 17 18 19 20 21 22 23 24 25 ,10.267142
45,4,25,12 15 20 25 ,10.267142
46,13,25,1 3 4 12 14 15 18 19 20 21 22 23 24 ,10.267142
47,6,25,10 12 16 20 21 22 ,10.267142
48,8,25,2 3 7 8 14 15 19 24 ,10.267142
49,5,25,13 17 18 22 23 ,10.267142
50,21,25,1 2 3 4 5 6 7 8 9 12 13 14 15 17 18 19 20 22 23 24 25 ,10.267142
51,8,25,2 5 6 7 14 17 20 25 ,10.267142
52,16,25,1 3 5 6 8 9 10 13 14 15 17 19 20 21 23 24 ,10.267142
53,17,25,2 4 5 6 8 10 11 12 13 14 15 17 18 21 22 23 25 ,10.267142
54,21,25,1 2 4 5 6 7 8 9 10 13 14 15 16 17 18 19 20 21 22 23 25 ,10.267142
55,19,25,1 2 3 4 5 6 7 8 10 11 12 13 14 15 16 18 21 24 25 ,10.267142
56,16,25,1 3 4 6 7 8 10 12 14 16 17 18 20 21 23 25 ,10.267142
57,18,25,1 3 5 6 8 9 10 11 12 14 15 16 19 20 21 23 24 25 ,10.267142
58,24,25,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ,10.267142
59,12,25,1 5 6 7 11 12 13 17 19 20 21 22 ,10.267142
60,7,25,5 11 15 17 20 21 23 ,10.267142
61,22,25,1 2 3 4 5 6 7 8 9 10 11 12 13 16 17 18 19 20 21 23 24 25 ,10.267142
62,7,25,4 6 13 16 18 20 25 ,10.267142
63,5,25,4 11 15 23 25 ,10.267142
64,25,25,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ,10.267142
65,9,25,1 3 5 10 11 13 17 20 22 ,10.267142
66,22,25,1 2 3 4 6 7 8 9 10 11 13 14 15 16 17 18 19 20 21 22 23 25 ,10.267142
67,7,25,1 3 7 9 13 18 19 ,10.267142
68,10,25,4 9 10 11 12 16 19 21 23 25 ,12.419999
69,19,25,2 3 5 6 7 8 9 10 13 14 15 16 17 20 21 22 23 24 25 ,12.419999
70,8,25,3 5 6 7 10 19 23 24 ,12.419999
71,16,25,1 2 3 4 8 9 10 11 14 16 18 19 20 21 22 24 ,13.593749
72,7,25,8 11 14 15 17 18 22 ,13.593749
73,4,25,5 9 11 18 ,13.593749
74,23,25,1 2 3 4 5 6 7 8 10 11 12 13 14 15 16 17 19 20 21 22 23 24 25 ,13.593749
75,19,25,1 2 3 5 6 9 12 13 14 15 16 17 19 20 21 22 23 24 25 ,13.593749
76,18,25,1 2 3 5 7 8 10 11 12 13 14 15 16 18 20 21 23 24 ,13.593749
