ITERAÇÃO,NR PONTOS SELECIONADOS,TOTAL PONTOS,LISTA DE PONTOS,RESULTADO
1,16,30,1 2 3 4 6 9 10 12 15 19 20 21 22 23 27 30 ,6.746249
2,23,30,2 3 5 6 7 8 9 10 11 12 13 14 16 18 20 21 22 23 24 25 27 28 29 ,6.746249
3,22,30,2 3 4 5 7 8 9 11 12 14 15 16 18 19 22 23 24 25 26 27 28 30 ,6.746249
4,14,30,2 3 5 6 9 11 12 14 17 20 21 23 24 29 ,6.746249
5,25,30,1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 18 20 21 24 25 26 27 28 29 30 ,6.746249
6,14,30,8 9 10 12 14 15 16 18 19 20 23 26 27 30 ,6.746249
7,3,30,2 6 12 ,6.746249
8,27,30,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 29 30 ,6.746249
9,29,30,1 2 3 4 5 6 7 8 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 ,6.746249
10,12,30,3 6 8 10 12 17 21 24 25 27 28 29 ,6.746249
11,25,30,1 2 4 6 8 9 10 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 ,6.746249
12,17,30,1 5 6 7 9 10 11 12 13 15 16 18 19 22 24 27 28 ,9.551765
13,22,30,1 2 3 4 5 6 7 9 11 12 13 14 15 16 19 20 22 25 26 27 28 29 ,9.551765
14,5,30,1 11 15 19 26 ,9.551765
15,2,30,5 11 ,9.551765
16,11,30,2 7 8 10 15 16 19 20 27 28 29 ,9.551765
17,22,30,1 2 5 6 8 9 12 14 15 16 17 20 21 22 23 24 25 26 27 28 29 30 ,9.551765
18,4,30,12 14 21 26 ,9.551765
19,5,30,1 4 14 18 23 ,9.551765
20,29,30,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 ,9.551765
21,14,30,1 5 6 8 9 11 13 14 15 17 18 19 23 28 ,9.551765
22,19,30,2 3 4 5 6 8 10 11 14 15 16 17 21 22 23 24 26 27 29 ,9.551765
23,13,30,1 4 5 6 7 10 15 20 22 23 24 25 27 ,9.681539
24,6,30,2 10 12 17 26 30 ,9.681539
25,19,30,1 3 4 6 7 8 9 13 15 19 20 22 23 24 25 27 28 29 30 ,9.681539
26,21,30,2 4 6 8 9 11 12 13 14 15 17 18 20 21 22 23 24 25 26 27 30 ,9.681539
27,12,30,5 7 8 9 15 16 17 21 24 25 28 30 ,9.681539
28,10,30,3 8 10 15 19 21 22 23 26 28 ,9.681539
29,3,30,2 7 30 ,9.681539
30,11,30,1 2 4 5 6 7 10 16 20 22 26 ,9.681539
31,6,30,1 5 14 16 24 29 ,9.681539
32,10,30,1 7 13 15 18 19 23 24 29 30 ,9.681539
33,23,30,1 3 4 5 8 10 11 12 13 14 15 16 17 18 19 20 22 23 24 25 26 29 30 ,9.681539
34,26,30,1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 19 20 21 22 23 24 25 26 27 29 30 ,9.681539
35,5,30,6 7 17 22 27 ,9.681539
36,13,30,1 3 7 9 12 13 14 18 19 20 21 24 27 ,9.681539
37,10,30,1 2 4 11 13 16 17 18 22 29 ,9.681539
38,10,30,3 4 9 11 12 16 22 23 25 30 ,9.681539
39,8,30,6 12 18 20 21 23 24 26 ,9.681539
40,17,30,3 6 7 8 9 11 12 13 16 17 18 19 20 22 23 27 30 ,9.681539
41,8,30,9 12 19 20 22 23 24 28 ,9.681539
42,29,30,1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 ,9.681539
43,13,30,7 8 9 10 12 14 15 18 19 22 23 27 28 ,9.681539
44,6,30,1 12 22 28 29 30 ,9.681539
45,2,30,8 14 ,9.681539
46,14,30,3 4 5 8 9 11 12 13 16 17 21 22 23 24 ,9.681539
47,13,30,1 2 3 7 11 14 15 16 18 19 22 23 25 ,9.681539
48,13,30,1 4 5 12 15 17 18 20 22 23 25 27 28 ,9.681539
49,10,30,3 6 10 12 15 16 19 20 23 24 ,9.856874
50,10,30,1 4 6 7 8 9 11 19 22 23 ,9.856874
RELATORIO DA EXPERIENCIA:
MELHOR RESULTADO: 9.856874, COM 13 NUMEROS
POSTOS DA MELHOR SOLUÇÃO: 1,4,5,6,7,10,15,20,22,23,24,25,27,
