ITERAÇÃO,NR PONTOS SELECIONADOS,TOTAL PONTOS,LISTA DE PONTOS,RESULTADO
1,13,20,1 5 7 8 9 12 13 14 15 16 17 19 20 ,0.450000
2,14,20,2 7 9 10 11 12 13 14 15 16 17 18 19 20 ,5.475000
3,18,20,1 2 3 4 5 7 8 9 10 11 12 13 14 15 17 18 19 20 ,5.825295
4,8,20,4 5 7 8 13 15 18 19 ,5.825295
5,11,20,2 4 5 7 8 9 13 14 15 17 19 ,5.825295
6,6,20,5 7 8 10 17 18 ,6.006471
7,6,20,9 11 15 16 18 19 ,11.065000
8,4,20,1 4 9 17 ,11.065000
9,14,20,2 3 4 5 6 7 8 10 11 14 15 17 18 19 ,11.065000
10,15,20,1 2 3 5 7 9 10 11 12 13 14 16 17 19 20 ,11.065000
11,6,20,4 9 13 17 19 20 ,11.065000
12,13,20,1 3 4 5 6 8 10 11 12 15 16 18 20 ,11.065000
13,8,20,1 2 3 7 10 11 16 18 ,11.065000
14,10,20,3 4 5 6 7 8 10 12 19 20 ,11.065000
15,3,20,5 14 20 ,11.065000
16,16,20,1 2 3 4 6 7 8 10 11 12 13 14 15 17 18 20 ,11.065000
17,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,11.065000
18,17,20,2 3 4 5 6 7 8 9 11 12 13 14 15 16 18 19 20 ,11.065000
19,17,20,1 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 ,11.065000
20,12,20,3 5 6 7 8 13 15 16 17 18 19 20 ,11.065000
21,17,20,1 2 3 4 5 6 7 8 10 11 13 14 15 16 17 18 19 ,11.065000
22,11,20,1 2 3 5 8 10 11 14 15 16 17 ,11.065000
23,3,20,1 11 18 ,11.065000
24,11,20,1 5 6 10 11 12 14 15 16 17 20 ,11.065000
25,11,20,5 7 8 10 11 12 16 17 18 19 20 ,11.065000
26,3,20,1 9 10 ,11.065000
27,7,20,1 4 5 8 9 13 19 ,11.065000
28,19,20,1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 ,11.065000
29,14,20,1 2 3 4 6 7 8 10 11 13 16 17 19 20 ,11.065000
30,6,20,1 3 4 5 17 20 ,11.065000
31,6,20,1 4 7 9 16 18 ,11.065000
32,17,20,1 2 3 4 5 6 7 8 9 10 11 12 13 17 18 19 20 ,11.065000
33,13,20,1 3 5 6 7 9 12 14 16 17 18 19 20 ,11.065000
34,8,20,1 2 3 6 11 13 14 15 ,11.065000
35,15,20,1 2 3 4 5 9 10 11 12 13 14 17 18 19 20 ,11.065000
36,3,20,8 15 17 ,11.065000
37,19,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ,11.065000
38,4,20,6 10 12 17 ,11.065000
39,3,20,7 11 12 ,11.065000
40,19,20,1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,11.065000
41,4,20,3 5 9 11 ,11.065000
42,14,20,1 4 6 7 8 10 11 12 13 14 15 16 17 18 ,11.065000
43,17,20,1 3 4 5 7 8 9 10 11 12 13 15 16 17 18 19 20 ,11.065000
44,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,11.065000
45,15,20,1 2 4 5 7 10 11 12 13 14 15 16 17 18 20 ,11.065000
46,7,20,2 6 12 13 17 18 20 ,11.065000
47,19,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 ,11.065000
48,4,20,7 12 14 17 ,11.065000
49,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,11.065000
50,13,20,1 4 5 6 7 8 9 10 11 15 16 19 20 ,11.065000
RELATORIO DA EXPERIENCIA:
MELHOR RESULTADO: 11.065000, COM 6 NUMEROS
POSTOS DA MELHOR SOLUÇÃO: 9,11,15,16,18,19,
