ITERAÇÃO,NR PONTOS SELECIONADOS,TOTAL PONTOS,LISTA DE PONTOS,RESULTADO
1,22,25,1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 25 ,1.650000
2,6,25,1 3 4 15 18 19 ,8.816666
3,6,25,3 7 12 19 21 24 ,8.816666
4,23,25,1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 ,8.816666
5,14,25,2 5 6 8 10 12 13 16 18 20 21 23 24 25 ,12.312141
6,6,25,3 11 13 20 23 25 ,12.312141
7,20,25,1 2 3 4 5 6 7 9 10 11 12 13 18 19 20 21 22 23 24 25 ,12.312141
8,10,25,1 2 5 10 12 13 16 18 22 25 ,12.312141
9,22,25,1 2 4 5 6 7 8 9 10 12 13 14 15 16 17 18 20 21 22 23 24 25 ,12.312141
10,12,25,5 8 9 10 13 15 17 19 20 21 23 24 ,12.312141
11,24,25,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 22 23 24 25 ,12.312141
12,13,25,2 3 4 5 6 7 8 9 10 20 21 23 24 ,12.312141
13,3,25,3 20 25 ,12.312141
14,11,25,1 2 4 9 11 13 14 15 16 17 18 ,12.312141
15,24,25,1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ,12.312141
16,13,25,2 3 8 10 12 13 14 15 16 17 21 22 25 ,12.312141
17,16,25,2 3 4 5 6 7 8 10 11 13 19 20 21 23 24 25 ,12.312141
18,16,25,1 3 4 6 7 10 11 13 14 15 16 19 20 21 23 25 ,12.312141
19,14,25,2 3 4 5 6 7 8 13 14 18 19 20 22 24 ,12.312141
20,22,25,1 2 3 4 5 6 7 9 10 11 12 14 15 16 17 18 19 20 21 22 23 25 ,12.312141
21,2,25,2 18 ,12.312141
22,10,25,3 6 7 8 14 15 17 20 23 24 ,12.312141
23,16,25,2 3 4 6 7 9 11 12 16 17 18 21 22 23 24 25 ,12.312141
24,2,25,5 17 ,12.312141
25,16,25,1 2 5 6 7 10 11 12 13 15 17 18 21 22 23 25 ,12.312141
26,12,25,1 3 7 8 9 10 11 13 14 20 21 22 ,12.312141
27,9,25,2 3 7 9 12 17 18 23 24 ,12.312141
28,15,25,2 3 4 5 7 8 9 14 15 16 17 18 22 24 25 ,12.312141
29,15,25,1 2 3 4 5 6 7 8 9 13 15 16 20 22 23 ,12.312141
30,17,25,1 2 3 5 6 8 9 10 14 15 16 17 18 20 23 24 25 ,12.312141
31,4,25,13 14 16 24 ,12.312141
32,21,25,2 3 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 25 ,12.312141
33,7,25,1 5 7 9 12 14 17 ,12.312141
34,17,25,2 3 4 5 6 9 11 13 14 15 16 17 18 20 21 23 25 ,12.312141
35,10,25,1 3 6 7 10 14 16 17 18 24 ,12.312141
36,15,25,4 6 7 8 9 10 11 13 17 18 19 21 22 23 25 ,12.312141
37,6,25,2 5 8 12 16 24 ,12.312141
38,2,25,21 24 ,12.312141
39,20,25,1 4 5 6 7 8 9 10 11 13 14 15 16 18 19 21 22 23 24 25 ,12.312141
40,11,25,1 2 5 6 8 11 13 17 20 24 25 ,12.312141
41,6,25,2 3 5 8 11 25 ,12.312141
42,4,25,10 13 18 21 ,12.312141
43,7,25,12 15 16 17 21 22 24 ,12.312141
44,2,25,5 6 ,12.312141
45,8,25,2 7 8 14 15 16 21 24 ,12.312141
46,22,25,1 2 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 21 22 23 24 25 ,12.312141
47,4,25,2 15 18 25 ,12.312141
48,18,25,1 3 4 6 7 8 9 11 12 13 15 17 20 21 22 23 24 25 ,12.312141
49,2,25,5 23 ,12.312141
50,7,25,3 8 12 17 20 21 25 ,12.312141
RELATORIO DA EXPERIENCIA:
MELHOR RESULTADO: 12.312141, COM 14 NUMEROS
POSTOS DA MELHOR SOLUÇÃO: 2,5,6,8,10,12,13,16,18,20,21,23,24,25,
